activity,time,lat,long,activity_id
Walking, 1571547768.006, 433240566714764.94, -84085333487503.69, -492
Walking, 1571547778.0129998, 433239678081634.1, -84084662618770.12, -492
Walking, 1571547788.0379999, 433241180118682.44, -84084662618770.12, -492
Walking, 1571547798.004, 433241039100859.44, -84083668262534.92, -492
Walking, 1571547818.025, 433241575542662.44, -84083668262534.92, -492
Walking, 1571547838.0070002, 433241449300564.94, -84081572233658.7, -492
Walking, 1571547858.008, 433241020625194.94, -84083513505262.02, -492
Walking, 1571547868.0070002, 433241685248577.44, -84083513505262.02, -492
Driving, 1572252361.679, 433240594409680.1, -84083753284308.9, -491
Driving, 1572252777.842, 433226498568126.8, -84083464696533.92, -491
Driving, 1572252783.002, 433226340092048.9, -84084247174414.25, -491
Driving, 1572252799.0010002, 433224918569857.06, -84084401451460.23, -491
Driving, 1572252809.006, 433214864684943.1, -84089666630697.61, -491
Driving, 1572252819.01, 433222535802725.75, -84089666630697.61, -491
Driving, 1572252820.4320002, 433224192323111.5, -84089666630697.61, -491
Driving, 1572252829.0029998, 433229629468546.06, -84090880039894.64, -491
Driving, 1572252839.0070002, 433233384561166.94, -84090880039894.64, -491
Driving, 1572252849.01, 433229686030805.7, -84093649478263.69, -491
Driving, 1572252859.014, 433233125371948.0, -84097647596248.44, -491
Driving, 1572252859.4120002, 433245387073250.06, -84093197711600.11, -491
Driving, 1572252869.018, 433261372400673.1, -84093197711600.11, -491
Driving, 1572252879.0010002, 433260727955254.44, -84092557280348.06, -491
Driving, 1572252879.937, 433262648098824.4, -84092557280348.06, -491
Driving, 1572252890.008, 433264849498824.44, -84092557280348.06, -491
Driving, 1572252900.002, 433264997395836.75, -84092557280348.06, -491
Driving, 1572252949.1560001, 433276287395836.75, -84092557280348.06, -490
Driving, 1572252951.0170002, 433277844761528.9, -84092557280348.06, -490
Driving, 1572254270.978, 433282619093575.4, -84092557280348.06, -490
Walking, 1572254283.0110002, 433282961370980.1, -84092557280348.06, -489
Walking, 1572254356.0089998, 433290295270980.1, -84092557280348.06, -489
Walking, 1572254375.019, 433294972114608.1, -84092557280348.06, -489
Walking, 1572254375.0579998, 433308654958236.0, -84092557280348.06, -489
Walking, 1572254420.008, 433329472477843.56, -84092557280348.06, -489
Walking, 1572255346.006, 433333924944808.25, -84092557280348.06, -489
Walking, 1572255678.772, 433334307144808.25, -84092557280348.06, -489
Walking, 1572255720.94, 433332827854793.06, -84093124718742.9, -489
Walking, 1572255723.006, 433332835363124.4, -84093124718742.9, -489
